Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
360	9	Mi5	E5	336	336	1	4	263	95	96	lin_	43.2
361	9	Mi5	E5	336	336	1	4	263	99	96	ey	43.4
362	9	Fa5	F5	340	340	1	8	132	95	96		43.5
363	9	Sol5	G5	349	349	1	8	132	99	96	le	43.6
364	9	Mi5	E5	336	336	1	8	132	95	96		43.7
365	9	Mi5	E5	336	336	1	4	263	99	96	yen  	43.9
366	9	Re5	D5	327	327	1	8	132	95	96		44
367	53			0	0	0	0	0	0	0		44
368	55			0	0	0	0	0	0	0		44
369	9			-1	-1	1	4	263	100	0		44.2
370	9	Do5	C5	318	318	1	8	132	95	96	se	44.3
371	9	Re5	D5	327	327	1	4	263	95	96	nin 	44.5
372	9	Re5	D5	327	327	1	4	263	95	96	çe	44.7
373	9	Re5	D5	327	327	1	4	263	99	96	ker 	44.9
374	9	Do5	C5	318	318	1	8	132	95	96		45
375	9	Do5	C5	318	318	1	4	263	95	96	ve	45.2
376	9	Do5	C5	318	318	1	4	263	99	96	bâ	45.4
377	9	Si4b2	B4b1	312	313	1	8	132	95	96		45.5
378	9	Re5	D5	327	327	1	4	263	95	96	li	45.7
379	9	Re5	D5	327	327	3	8	395	50	96	ni 	46
380	53			0	0	0	0	0	0	0		46
381	9			-1	-1	1	4	263	100	0		46.2
382	9	Do5	C5	318	318	1	8	132	95	96	se	46.3
383	9	Re5	D5	327	327	1	4	263	95	96	nin 	46.5
384	9	Re5	D5	327	327	1	4	263	95	96	çe	46.7
385	9	Re5	D5	327	327	1	4	263	99	96	ker 	46.9
386	9	Do5	C5	318	318	1	8	132	95	96		47
387	51			0	0	6	4	0	90	0	Yürüksemâî (6/4)	47
388	9	Do5	C5	318	318	1	4	606	95	96	ve	47.16667
389	10	Do5	C5	318	318	1	4	606	99	96	bâ	47.33333
390	8	Re5	D5	327	327	0	0	0	99	96		47.33333
391	9	Do5	C5	318	318	1	8	303	99	96		47.41667
392	9	Si4b2	B4b1	312	313	1	8	303	95	96		47.5
